Sentence: #;Word;Tag
;hårde;FORM
Sentence: 8;cisordinol;NAME
;depot;NAME
;500;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;5;PACK
;amp;PACK
;.;PACK
;a;PACK
;1;PACK
;ml;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opløsning;FORM
Sentence: 9;latanoprost;NAME
;teva;O
;50;STRENGTH
;mikrogram;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;2;PACK
;,;O
;5;PACK
;ml;PACK
;øjendrb;FORM
;.;FORM
;,;O
;opløsning;FORM
Sentence: 10;loxicom;NAME
;til;NAME
;hunde;NAME
;0;STRENGTH
;,;O
;5;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;15;PACK
;ml;PACK
;oral;FORM
;suspension;FORM
Sentence: 11;venlafaxin;NAME
;hexal;O
;75;STRENGTH
;mg;STRENGTH
;112;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;depotkapsler;FORM
;,;O
;hårde;FORM
Sentence: 12;alk;NAME
;(;O
;113;NAME
;);O
;corylus;NAME
;avellana;NAME
;10;STRENGTH
;hep;STRENGTH
;2;PACK
;ml;PACK
;opl;FORM
;.;FORM
;t;FORM
;.;FORM
;prikt;FORM
;.;FORM
;solu;FORM
;-;FORM
;sq;FORM
Sentence: 13;broadline;NAME
;katte;NAME
;2;NAME
;,;O
;5;NAME
;-;NAME
;7;NAME
;,;O
;5;NAME
;kg;NAME
;74;STRENGTH
;,;O
;7;STRENGTH
;+;STRENGTH
;90;STRENGTH
;+;STRENGTH
;3;STRENGTH
;,;O
;6;STRENGTH
;+;STRENGTH
;74;STRENGTH
;,;O
;7;STRENGTH
;mg;STRENGTH
;3;PACK
;x;PACK
;0;PACK
;,;O
;9;PACK
;ml;PACK
;spot;FORM
;-;FORM
;on;FORM
;,;O
;opløsning;FORM
Sentence: 14;brilique;NAME
;90;STRENGTH
;mg;STRENGTH
;168;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 15;strattera;NAME
;40;STRENGTH
;mg;STRENGTH
;28;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;kapsler;FORM
;,;O
;hårde;FORM
Sentence: 16;loceryl;NAME
;5;STRENGTH
;%;STRENGTH
;5;PACK
;ml;PACK
;medicinsk;FORM
;neglelak;FORM
Sentence: 17;selincro;NAME
;18;STRENGTH
;mg;STRENGTH
;28;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 18;tobramycin;NAME
;2;O
;care;NAME
;4;O
;300;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;5;STRENGTH
;ml;STRENGTH
;56;PACK
;stk;PACK
;.;PACK
;inhvsk;FORM
;t;FORM
;.;FORM
;nebul;FORM
;,;O
;opl;FORM
Sentence: 19;humalog;NAME
;mix25;NAME
;kwikpen;NAME
;100;STRENGTH
;e;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;5;PACK
;x;PACK
;3;PACK
;ml;PACK
;injektionsvæske;FORM
Sentence: 20;actos;NAME
;15;STRENGTH
;mg;STRENGTH
;98;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Sentence: 21;hjerdyl;NAME
;75;STRENGTH
;mg;STRENGTH
;200;PACK
;stk;PACK
;.;PACK
;tabletter;FORM
Sentence: 22;crominet;NAME
;20;STRENGTH
;mgm;STRENGTH
;5;PACK
;ml;PACK
;øjendrb;FORM
;.;FORM
;,;O
;opløsning;FORM
Sentence: 23;daxas;NAME
;500;STRENGTH
;mikrogram;STRENGTH
;90;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 24;clozapin;NAME
;accord;O
;25;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Sentence: 25;porcilis;NAME
;m;NAME
;hyo;NAME
;id;NAME
;once;NAME
;10;PACK
;x;PACK
;50;PACK
;doser;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;emulsion;FORM
Sentence: 26;spersadex;NAME
;comp;NAME
;.;NAME
;1;STRENGTH
;+;STRENGTH
;5;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;5;PACK
;ml;PACK
;øjendrb;FORM
;.;FORM
;,;O
;opløsning;FORM
Sentence: 27;bravecto;NAME
;til;NAME
;hunde;NAME
;>;NAME
;4;NAME
;,;O
;5;NAME
;-;NAME
;10;NAME
;kg;NAME
;250;STRENGTH
;mg;STRENGTH
;1;PACK
;stk;PACK
;.;PACK
;spot;FORM
;-;FORM
;on;FORM
;,;O
;opløsning;FORM
Sentence: 28;vimpat;NAME
;50;STRENGTH
;mg;STRENGTH
;14;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 29;tafinlar;NAME
;50;STRENGTH
;mg;STRENGTH
;120;PACK
;stk;PACK
;.;PACK
;kapsler;FORM
;,;O
;hårde;FORM
Sentence: 30;zarator;NAME
;10;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tyggetabletter;FORM
Sentence: 31;dazonay;NAME
;100;PACK
;stk;PACK
;.;PACK
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 32;med;NAME
;.;NAME
;oxygen;O
;air;O
;liquide;O
;100;O
;%;NAME
;100;STRENGTH
;%;STRENGTH
;5;PACK
;l;PACK
;(;O
;viproxal;O
;,;O
;0;PACK
;-;PACK
;15;PACK
;l;PACK
;/;PACK
;min;O
;);O
;med;FORM
;.;FORM
;gas;FORM
;,;O
;komprim;FORM
;.;FORM
Sentence: 33;zypadhera;NAME
;210;STRENGTH
;mg;STRENGTH
;1;PACK
;sæt;PACK
;(;O
;paranova;O
;);O
;pul;FORM
;.;FORM
;solv;FORM
;.;FORM
;dep;FORM
;.;FORM
;inj;FORM
;,;O
;sus;FORM
Sentence: 34;methylphenidate;NAME
;mylan;O
;27;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;depottabletter;FORM
Sentence: 35;unixan;NAME
;200;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;depottabletter;FORM
Sentence: 36;dicloxacillin;NAME
;bluefish;O
;500;STRENGTH
;mg;STRENGTH
;50;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;kapsler;FORM
;,;O
;hårde;FORM
Sentence: 37;heparin;NAME
;leo;O
;5000;STRENGTH
;ium;STRENGTH
;5;PACK
;x;PACK
;5;PACK
;ml;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opløsning;FORM
Sentence: 38;arthrotec;NAME
;forte;NAME
;75;STRENGTH
;+;STRENGTH
;0;STRENGTH
;,;O
;2;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Sentence: 39;uptravi;NAME
;1200;STRENGTH
;mikrogram;STRENGTH
;60;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 40;fluconazol;NAME
;krka;O
;150;STRENGTH
;mg;STRENGTH
;1;PACK
;stk;PACK
;(;O
;blister;O
;);O
;kapsler;FORM
;,;O
;hårde;FORM
Sentence: 41;adriamycin;NAME
;2;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;1;PACK
;htgl;PACK
;.;PACK
;á;PACK
;10;PACK
;ml;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opløsning;FORM
Sentence: 42;soolantra;NAME
;10;STRENGTH
;mgg;STRENGTH
;30;PACK
;g;PACK
;creme;FORM
Sentence: 43;colrefuz;NAME
;500;STRENGTH
;rg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Sentence: 44;androcur;NAME
;depot;NAME
;100;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;3;PACK
;x;PACK
;3;PACK
;ml;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opløsning;FORM
Sentence: 45;fluoxetin;NAME
;orifarm;O
;20;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;opløselige;FORM
;tabletter;FORM
Sentence: 46;zypadhera;NAME
;405;STRENGTH
;mg;STRENGTH
;1;PACK
;sæt;PACK
;(;O
;abacus;O
;);O
;pul;FORM
;.;FORM
;solv;FORM
;.;FORM
;dep;FORM
;.;FORM
;inj;FORM
;,;O
;sus;FORM
Sentence: 47;laxoberal;NAME
;7;STRENGTH
;,;O
;5;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;30;PACK
;ml;PACK
;orale;FORM
;dråber;FORM
;,;O
;opløsn;FORM
Sentence: 48;crestor;NAME
;20;STRENGTH
;mg;STRENGTH
;98;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 49;creon;NAME
;40;NAME
;.;NAME
;000;NAME
;lipase;STRENGTH
;40;STRENGTH
;.;STRENGTH
;000;STRENGTH
;ep;STRENGTH
;-;STRENGTH
;e;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;enterokapsler;FORM
;,;O
;hårde;FORM
Sentence: 50;duloxetin;NAME
;pensa;O
;30;STRENGTH
;mg;STRENGTH
;28;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;enterokapsler;FORM
;,;O
;hårde;FORM
Sentence: 51;valsartan;NAME
;/;NAME
;hclthiazid;O
;orifarm;O
;80;STRENGTH
;+;STRENGTH
;12;STRENGTH
;,;O
;5;STRENGTH
;mg;STRENGTH
;98;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 52;intestifalk;NAME
;3;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;enterokapsler;FORM
;,;O
;hårde;FORM
Sentence: 53;ondansetron;NAME
;bluefish;O
;8;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 54;gestodilat;NAME
;63;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;overtrukne;FORM
;tabletter;FORM
Sentence: 55;canizol;NAME
;vet;NAME
;.;NAME
;200;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Sentence: 56;tadalafil;NAME
;mylan;O
;20;STRENGTH
;mg;STRENGTH
;8;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 57;clostriporc;NAME
;a;NAME
;25;PACK
;doser;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;suspension;FORM
Sentence: 58;paricalcitol;NAME
;pfizer;O
;5;STRENGTH
;mikrogram;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;5;PACK
;x;PACK
;1;PACK
;ml;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opløsning;FORM
Sentence: 59;advagraf;NAME
;0;STRENGTH
;,;O
;5;STRENGTH
;mg;STRENGTH
;50;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;depotkapsler;FORM
;,;O
;hårde;FORM
Sentence: 60;adenosin;NAME
;life;O
;medical;O
;5;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;10;PACK
;x;PACK
;10;PACK
;ml;PACK
;inj;FORM
;.;FORM
;-;FORM
;/;FORM
;inf;FORM
;.;FORM
;vsk;FORM
;.;FORM
;,;O
;opl;FORM
;.;FORM
Sentence: 61;movicol;NAME
;8;PACK
;stk;PACK
;.;PACK
;pul;FORM
;.;FORM
;t;FORM
;.;FORM
;oral;FORM
;opl;FORM
;.;FORM
;endos;FORM
Sentence: 62;neurobloc;NAME
;5000;STRENGTH
;e;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;1;PACK
;htgl;PACK
;.;PACK
;a;PACK
;0;PACK
;,;O
;5;PACK
;ml;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opløsning;FORM
Sentence: 63;actilyse;NAME
;20;PACK
;mg;PACK
;(;O
;htgl;O
;.;PACK
;);O
;+;PACK
;20;PACK
;ml;PACK
;solvens;PACK
;pulv;FORM
;.;FORM
;solv;FORM
;.;FORM
;t;FORM
;.;FORM
;inj;FORM
;/;FORM
;infv;FORM
Sentence: 64;bloxazoc;NAME
;200;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;depottabletter;FORM
Sentence: 65;abilify;NAME
;30;STRENGTH
;mg;STRENGTH
;56;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;(;O
;abacus;O
;medi;PACK
;tabletter;FORM
Sentence: 66;lantus;NAME
;solo;NAME
;star;NAME
;100;STRENGTH
;e;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;5;PACK
;x;PACK
;3;PACK
;ml;PACK
;(;O
;orifarm;O
;);O
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opl;FORM
;.;FORM
;,;O
;pen;FORM
Sentence: 67;pantoprazol;NAME
;amneal;O
;40;STRENGTH
;mg;STRENGTH
;50;PACK
;x;PACK
;40;PACK
;mg;PACK
;pulv;FORM
;.;FORM
;t;FORM
;.;FORM
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opl;FORM
Sentence: 68;cyclogyl;NAME
;1;STRENGTH
;%;STRENGTH
;10;PACK
;ml;PACK
;øjendrb;FORM
;.;FORM
;,;O
;opløsning;FORM
Sentence: 69;entresto;NAME
;24;STRENGTH
;mg;STRENGTH
;+;STRENGTH
;26;STRENGTH
;mg;STRENGTH
;28;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;(;O
;paranova;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 70;signifor;NAME
;0;STRENGTH
;,;O
;6;STRENGTH
;mg;STRENGTH
;60;PACK
;stk;PACK
;.;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opløsning;FORM
Sentence: 71;porcilis;NAME
;pcv;NAME
;m;NAME
;hyo;NAME
;200;PACK
;ml;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;emulsion;FORM
Sentence: 72;hexalid;NAME
;5;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;tabletter;FORM
Sentence: 73;elocon;NAME
;0;STRENGTH
;,;O
;1;STRENGTH
;%;STRENGTH
;100;PACK
;ml;PACK
;kutanopløsning;FORM
Sentence: 74;versican;NAME
;plus;NAME
;l4;NAME
;25;PACK
;x;PACK
;1;PACK
;dosis;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;suspension;FORM
Sentence: 75;avipro;NAME
;ib;NAME
;h;NAME
;120;NAME
;10;PACK
;x;PACK
;5000;PACK
;doser;PACK
;lyofilisat;FORM
;suspesion;FORM
Sentence: 76;ampicillin;NAME
;pcd;O
;500;STRENGTH
;mg;STRENGTH
;24;PACK
;stk;PACK
;.;PACK
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 77;ethacilin;NAME
;vet;NAME
;.;NAME
;300;STRENGTH
;.;STRENGTH
;000;STRENGTH
;ie;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;1;PACK
;x;PACK
;250;PACK
;ml;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;suspension;FORM
Sentence: 78;rivastigmine;NAME
;sandoz;O
;3;STRENGTH
;mg;STRENGTH
;112;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;kapsler;FORM
;,;O
;hårde;FORM
Sentence: 79;diproderm;NAME
;0;STRENGTH
;,;O
;05;STRENGTH
;pc;STRENGTH
;2;PACK
;x;PACK
;60;PACK
;ml;PACK
;kutanopløsning;FORM
Sentence: 80;modifenac;NAME
;75;STRENGTH
;mg;STRENGTH
;20;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;kaps;FORM
;.;FORM
;m;FORM
;.;FORM
;modif;FORM
;.;FORM
;udl;FORM
;.;FORM
Sentence: 81;betnovat;NAME
;1;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;g;STRENGTH
;tube;PACK
;a;PACK
;30;PACK
;g;PACK
;salve;FORM
Sentence: 82;ritemvia;NAME
;100;STRENGTH
;mg;STRENGTH
;2;PACK
;stk;PACK
;.;PACK
;konc;FORM
;.;FORM
;t;FORM
;.;FORM
;inf;FORM
;.;FORM
;væsk;FORM
;.;FORM
;opl;FORM
;.;FORM
Sentence: 83;bortezomib;NAME
;teva;O
;3;STRENGTH
;,;O
;5;STRENGTH
;mg;STRENGTH
;1;PACK
;stk;PACK
;.;PACK
;pulv;FORM
;.;FORM
;t;FORM
;.;FORM
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opl;FORM
Sentence: 84;felodin;NAME
;10;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;depottabletter;FORM
Sentence: 85;entocort;NAME
;3;STRENGTH
;mg;STRENGTH
;50;PACK
;stk;PACK
;.;PACK
;kap;FORM
;.;FORM
;m;FORM
;.;FORM
;mod;FORM
;.;FORM
;udløs;FORM
;.;FORM
;hård;FORM
Sentence: 86;isosorbidmononitrat;NAME
;paranova;O
;60;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;depottabletter;FORM
Sentence: 87;cipralex;NAME
;meltz;NAME
;10;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;smeltetabletter;FORM
Sentence: 88;ciloxadex;NAME
;3;STRENGTH
;+;STRENGTH
;1;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;5;PACK
;ml;PACK
;øredråber;FORM
;,;O
;susp;FORM
;.;FORM
Sentence: 89;eucreas;NAME
;50;STRENGTH
;+;STRENGTH
;850;STRENGTH
;mg;STRENGTH
;180;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;(;O
;abacus;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 90;januvia;NAME
;25;STRENGTH
;mg;STRENGTH
;98;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;(;O
;2;PACK
;care;PACK
;4;PACK
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 91;euthyrox;NAME
;25;STRENGTH
;mikrogram;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Sentence: 92;vetoryl;NAME
;10;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;kapsler;FORM
;,;O
;hårde;FORM
Sentence: 93;clindoxyl;NAME
;10;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;g;STRENGTH
;+;STRENGTH
;50;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;g;STRENGTH
;25;PACK
;g;PACK
;gel;FORM
Sentence: 94;monofer;NAME
;100;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;5;PACK
;x;PACK
;5;PACK
;ml;PACK
;inj;FORM
;.;FORM
;-;FORM
;/;FORM
;inf;FORM
;.;FORM
;vsk;FORM
;.;FORM
;,;O
;opl;FORM
;.;FORM
Sentence: 95;duloxetine;NAME
;accord;O
;30;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;enterokapsler;FORM
;,;O
;hårde;FORM
Sentence: 96;bosulif;NAME
;400;STRENGTH
;mg;STRENGTH
;28;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 97;quetiapin;NAME
;accord;O
;300;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 98;cetirizin;NAME
;actavis;O
;10;STRENGTH
;mg;STRENGTH
;50;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 99;sterilt;NAME
;vand;O
;fresenius;O
;kabi;O
;20;PACK
;x;PACK
;10;PACK
;ml;PACK
;solv;FORM
;.;FORM
;t;FORM
;parent;FORM
;.;FORM
;anv;FORM
;.;FORM
Sentence: 100;malfin;NAME
;100;STRENGTH
;mg;STRENGTH
;25;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;depottabletter;FORM
Sentence: 101;eviplera;NAME
;200;STRENGTH
;+;STRENGTH
;25;STRENGTH
;+;STRENGTH
;245;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;abacus;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 102;octreotide;NAME
;hospira;O
;100;STRENGTH
;mikrogram;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;5;PACK
;x;PACK
;1;PACK
;ml;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opløsning;FORM
Sentence: 103;duloxetin;NAME
;krka;O
;60;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;enterokapsler;FORM
;,;O
;hårde;FORM
Sentence: 104;quetiapine;NAME
;teva;O
;200;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 105;ipramol;NAME
;steri;NAME
;-;NAME
;neb;NAME
;2;STRENGTH
;,;O
;5;STRENGTH
;+;STRENGTH
;0;STRENGTH
;,;O
;5;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;behold;STRENGTH
;.;STRENGTH
;60;PACK
;x;PACK
;2;PACK
;,;O
;5;PACK
;ml;PACK
;inh;FORM
;.;FORM
;vsk;FORM
;.;FORM
;neb;FORM
;.;FORM
;opl;FORM
;.;FORM
;end;FORM
;.;FORM
Sentence: 106;keppra;NAME
;100;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;150;PACK
;ml;PACK
;(;O
;1;PACK
;ml;PACK
;målesprøjte;O
;);O
;oral;FORM
;opløsning;FORM
Sentence: 107;aricept;NAME
;10;STRENGTH
;mg;STRENGTH
;98;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 108;accutin;NAME
;20;STRENGTH
;mg;STRENGTH
;50;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;kapsler;FORM
;,;O
;bløde;FORM
Sentence: 109;medilax;NAME
;667;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;100;PACK
;ml;PACK
;oral;FORM
;opløsning;FORM
Sentence: 110;rompun;NAME
;vet;NAME
;.;NAME
;2;STRENGTH
;%;STRENGTH
;5;PACK
;x;PACK
;25;PACK
;ml;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opløsning;FORM
Sentence: 111;ypozane;NAME
;1;STRENGTH
;,;O
;875;STRENGTH
;mg;STRENGTH
;7;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Sentence: 112;escitalopram;NAME
;orion;O
;5;STRENGTH
;mg;STRENGTH
;98;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 113;temozolomid;NAME
;fair;O
;-;NAME
;med;O
;20;STRENGTH
;mg;STRENGTH
;5;PACK
;stk;PACK
;.;PACK
;kapsler;FORM
;,;O
;hårde;FORM
Sentence: 114;rimstar;NAME
;60;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 115;lipistad;NAME
;40;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 116;clavubactin;NAME
;vet;NAME
;.;NAME
;250;STRENGTH
;+;STRENGTH
;62;STRENGTH
;,;O
;5;STRENGTH
;mg;STRENGTH
;10;PACK
;stk;PACK
;.;PACK
;tabletter;FORM
Sentence: 117;zonoct;NAME
;10;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Sentence: 118;rimadyl;NAME
;vet;NAME
;.;NAME
;50;STRENGTH
;mg;STRENGTH
;20;PACK
;stk;PACK
;.;PACK
;tyggetabletter;FORM
Sentence: 119;sevohale;NAME
;100;STRENGTH
;%;STRENGTH
